cap_id	date_utc	build_stamp	source	fed	reg	interval_s	gauge_frames	gauge_dt_s	gauge_base_mm	gauge_lever_mm	final_over_dev_robust	final_over_dev_all	pairwise_median	live_over_dev	live_stage	final_over_live	rms_mm	n_outlier	extent_m	dir
cap_1788678442847326	2026-09-06	Sep  2 2026 14:10:19	pw_backups/pw102_20260906/backup103_20260906_2243	33	33	1.78	0-1	2.93	217	205	0.9763	0.9763	0.9774	0.9764	post_local_ba	0.9999	7.5	0	0.89	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup103_20260906_2243/Documents/captures_official/cap_1788678442847326
cap_1788679937631770	2026-09-06	Sep  2 2026 14:10:19	pw_backups/pw102_20260906/backup103_20260906_2243	30	30	1.38	0-1	1.67	188	184	0.9890	0.9890	0.9887	0.9893	post_local_ba	0.9997	8.2	0	0.85	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup103_20260906_2243/Documents/captures_official/cap_1788679937631770
cap_1788707663950635	2026-09-06	Sep  2 2026 14:10:19	pw_backups/pw102_20260906/backup103_20260906_2243	35	35	1.13	0-1	1.93	163	145	0.9729	0.9729	0.9735	0.9750	post_local_ba	0.9977	5.5	0	0.91	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup103_20260906_2243/Documents/captures_official/cap_1788707663950635
cap_1788712695193490	2026-09-06	Sep  2 2026 14:10:19	pw_backups/pw102_20260906/backup103_20260906_2243	39	39	1.28	0-1	4.40	154	154	0.9276	0.9274	0.9302	0.9236	post_local_ba	1.0043	9.5	1	0.88	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup103_20260906_2243/Documents/captures_official/cap_1788712695193490
cap_1788764232382558	2026-09-07	Sep  2 2026 14:10:19	pw_backups/pw102_20260906/backup103_20260906_2243	40	39	1.03	0-1	3.07	103	96	0.9482	0.9482	0.9474	0.9487	post_local_ba	0.9994	5.9	0	0.84	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup103_20260906_2243/Documents/captures_official/cap_1788764232382558
cap_1788790258039397	2026-09-07	Sep  2 2026 14:10:19	pw_backups/pw102_20260906/backup103_20260906_2243	20	20	3.63	0-1	4.73	367	337	1.0445	1.0445	1.0447	1.0424	post_global_ba	1.0020	9.5	0	1.03	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup103_20260906_2243/Documents/captures_official/cap_1788790258039397
cap_1788795741337526	2026-09-07	Sep  2 2026 14:10:19	pw_backups/pw102_20260906/backup103_20260906_2243	20	20	1.20	0-1	6.90	210	154	0.9493	0.9499	0.9506	0.9598	post_local_ba	0.9890	8.8	1	0.81	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup103_20260906_2243/Documents/captures_official/cap_1788795741337526
cap_1788832166373381	2026-09-08	Sep  2 2026 14:10:19	pw_backups/pw102_20260906/backup103_20260906_2243	20	20	2.20	0-1	5.87	456	453	0.9724	0.9724	0.9726	0.9723	post_global_ba	1.0001	5.2	0	0.65	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup103_20260906_2243/Documents/captures_official/cap_1788832166373381
cap_1788833970296567	2026-09-08	Sep  2 2026 14:10:19	pw_backups/pw102_20260906/backup103_20260906_2243	24	24	1.93	0-1	4.93	337	331	0.9908	0.9908	0.9910	0.9937	post_local_ba	0.9971	5.5	0	0.74	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup103_20260906_2243/Documents/captures_official/cap_1788833970296567
cap_1788836712860863	2026-09-08	Sep  2 2026 14:10:19	pw_backups/pw102_20260906/backup103_20260906_2243	30	29	1.13	1-2	3.60	218	208	0.9572	0.9572	0.9570	0.9636	post_local_ba	0.9933	4.5	0	0.72	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup103_20260906_2243/Documents/captures_official/cap_1788836712860863
cap_1788839976670235	2026-09-08	Sep  2 2026 14:10:19	pw_backups/pw102_20260906/backup103_20260906_2243	35	35	1.33	0-1	2.47	191	158	0.9996	0.9996	0.9984	0.9979	post_local_ba	1.0017	10.8	0	1.27	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup103_20260906_2243/Documents/captures_official/cap_1788839976670235
cap_1788843291846953	2026-09-08	Sep  2 2026 14:10:19	pw_backups/pw102_20260906/backup103_20260906_2243	28	28	1.60	0-1	3.20	183	182	0.9964	0.9964	0.9967	0.9987	post_local_ba	0.9977	7.5	0	0.92	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup103_20260906_2243/Documents/captures_official/cap_1788843291846953
cap_1788846697027838	2026-09-08	Sep  2 2026 14:10:19	pw_backups/pw102_20260906/backup103_20260906_2243	20	20	1.20	0-1	4.03	436	352	0.9960	0.9960	0.9967	0.9996	post_global_ba	0.9964	3.9	0	0.82	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup103_20260906_2243/Documents/captures_official/cap_1788846697027838
cap_1788846879677499	2026-09-08	Sep  2 2026 14:10:19	pw_backups/pw102_20260906/backup103_20260906_2243	28	28	1.20	0-1	3.40	281	251	0.9830	0.9830	0.9827	0.9837	post_local_ba	0.9993	5.9	0	0.75	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup103_20260906_2243/Documents/captures_official/cap_1788846879677499
