engine	delta_ms	scene	pose	k_ark_pct	k_lidar_pct	ate_cm	seg5_min	seg5_max	seg5_sd	win2_sd	win2_absmax	jitter_deg	same_rms_deg	same_med_deg	ark_same_rms_deg	ark_same_med_deg	s_engine_ms	s_pts_ms	g	n
base	6	6d18	backend_final	0.4913	-3.4681	2.3054	-1.1504	1.8479	1.1531	3.4762	6.9405	0.0737	0.0737	0.0587	0.0616	0.0266	-6.0000	7.5000	1.0002	288
base	6	6d18	front	0.5851	-3.3779	2.6479	-1.5048	2.9325	1.5046	4.0011	6.8093	0.2735			0.0350		-0.5000	13.0000	0.9054	859
base	6	7353	backend_final	4.7113	4.0621	5.9396	-7.2207	2.5925	3.5105	4.0996	8.8298	0.0875	0.0875	0.0562	0.0798	0.0306	-5.5000	9.5000	1.0018	290
base	6	7353	front	5.1065	4.4548	6.2468	-7.6868	3.5740	3.8668	5.5990	11.5047	0.3352			0.0408		0.0000	15.0000	0.9008	862
base	7	13f5	backend_final	0.7903	-1.4473	2.2985	-9.6377	2.8319	3.7961	4.2822	13.3048	0.0714	0.0714	0.0435	0.0372	0.0222	-5.5000	9.5000	1.0006	288
base	7	13f5	front	1.1765	-1.0696	2.4198	-10.1166	2.7769	3.9515	5.2224	12.7115	0.2177			0.0222		-1.0000	14.0000	0.9149	858
base	7	6d18	backend_final	0.5220	-3.4386	2.6116	-1.3998	1.9366	1.1865	3.4861	7.1506	0.0782	0.0782	0.0626	0.0616	0.0266	-6.0000	8.5000	1.0001	288
base	7	6d18	front	0.6131	-3.3510	2.9768	-1.7896	3.1075	1.6137	3.9719	6.8071	0.2755			0.0350		-0.5000	14.0000	0.9040	859
base	7	7353	backend_final	4.8070	4.1572	6.5788	-8.4202	2.9527	4.0711	4.6865	10.8073	0.0911	0.0911	0.0598	0.0798	0.0306	-5.5000	10.5000	1.0016	290
base	7	7353	front	5.1368	4.4849	6.8803	-9.2062	4.3280	4.6473	6.6067	13.7073	0.3267			0.0408		-0.5000	15.5000	0.9042	862
base	8	13f5	backend_final	1.4227	-0.8289	2.7440	-11.2402	1.9218	4.1082	4.6912	15.1556	0.0760	0.0760	0.0460	0.0372	0.0222	-5.5000	10.5000	1.0003	288
base	8	13f5	front	1.8090	-0.4511	2.8453	-11.8074	1.5515	4.2544	5.6147	14.5957	0.2212			0.0222		-1.0000	15.0000	0.9146	858
base	8	6d18	backend_final	0.5310	-3.4299	2.5584	-1.6820	1.8647	1.2572	3.7940	8.4995	0.0831	0.0831	0.0680	0.0616	0.0266	-6.0000	9.5000	1.0000	288
base	8	6d18	front	0.5891	-3.3741	3.0053	-2.0129	3.1159	1.6935	4.4944	8.8191	0.2803			0.0350		-0.5000	15.0000	0.9041	859
