frame,t,wall_ms,cpu_ms,sw_solver_ms,sw_solves,sw_iters,stop_budget,stop_time,stop_iter,stop_conv,init_solver_ms,bk_work_ms,bk_track_ms,bk_track_n,rc,state,queue_wait_ms,recording_frame
179,245424.229900541,0.0477,0.0477,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0087,361
180,245424.263236666,0.0437,0.0436,nan,-1,-1,-1,-1,-1,-1,nan,18.0025,17.5993,1,0,1,0.0067,363
181,245424.296573000,0.0414,0.0414,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0086,365
182,245424.329909166,0.0459,0.0458,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0073,367
183,245424.363245458,0.0591,0.0590,nan,-1,-1,-1,-1,-1,-1,nan,8.7920,8.4540,1,0,1,0.0073,369
184,245424.396581750,0.0311,0.0310,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0084,371
185,245424.429917958,0.0302,0.0302,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0067,373
186,245424.463254083,0.0276,0.0274,nan,-1,-1,-1,-1,-1,-1,nan,12.5490,12.2151,1,0,1,0.0058,375
187,245424.496590416,0.0304,0.0302,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0075,377
188,245424.529926625,0.0217,0.0217,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0057,379
189,245424.563262958,0.0267,0.0266,nan,-1,-1,-1,-1,-1,-1,nan,12.9020,12.5704,1,0,1,0.0056,381
190,245424.596599041,0.0310,0.0308,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0132,383
191,245424.629935333,0.0307,0.0305,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0067,385
192,245424.663271541,0.0203,0.0202,nan,-1,-1,-1,-1,-1,-1,nan,20.9283,20.6348,1,0,1,0.0048,387
193,245424.696607708,0.0218,0.0218,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0046,389
194,245424.729943958,0.0250,0.0248,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0065,391
195,245424.763280250,0.0171,0.0171,nan,-1,-1,-1,-1,-1,-1,nan,18.8931,18.6372,1,0,1,0.0058,393
196,245424.796616458,0.0172,0.0172,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0045,395
197,245424.829952666,0.0246,0.0245,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0055,397
198,245424.863288916,0.0170,0.0169,nan,-1,-1,-1,-1,-1,-1,nan,9.9269,9.6681,1,0,1,0.0057,399
199,245424.896625041,0.0281,0.0278,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0060,401
200,245424.929961333,0.0267,0.0266,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0055,403
201,245424.963297500,0.0263,0.0261,nan,-1,-1,-1,-1,-1,-1,nan,10.3343,10.0317,1,0,1,0.0071,405
202,245424.996633875,0.0252,0.0251,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0060,407
