# w h
1920 1440
# curr_x curr_y cpu_x cpu_y cpu_st gpu_x gpu_y gpu_st cpu_rx cpu_ry cpu_rst gpu_rx gpu_ry gpu_rst
1415.78259 1148.43506 1417.35315 1151.69946 1 1417.35278 1151.69983 1 1415.78345 1148.43909 1 1415.78308 1148.43945 1
1213.08923 1071.14929 1214.80273 1074.02014 1 1214.80273 1074.02014 1 1213.08972 1071.14795 1 1213.08972 1071.14795 1
1267.69446 1159.51111 1269.41113 1162.55115 1 1269.41113 1162.55115 1 1267.69543 1159.50854 1 1267.69543 1159.50854 1
954.179382 1377.24878 955.148926 1379.03491 1 955.148926 1379.03491 1 954.179016 1377.24829 1 954.179016 1377.24829 1
637.920715 432.53476 640.227173 433.962891 1 640.227234 433.962891 1 637.917786 432.531372 1 637.917847 432.531433 1
1383.76379 1175.24377 1385.32922 1178.4707 1 1385.32922 1178.4707 1 1383.76538 1175.24658 1 1383.76538 1175.24658 1
863.510864 625.747009 865.621643 627.372253 1 865.621643 627.372253 1 863.511536 625.747986 1 863.511536 625.747986 1
938.2099 1322.75793 939.248169 1324.50671 1 939.248169 1324.50671 1 938.209412 1322.75854 1 938.209412 1322.75854 1
1168.94031 1369.20312 1170.61536 1372.01624 1 1170.61536 1372.01624 1 1168.94116 1369.20166 1 1168.94116 1369.20166 1
546.489441 848.191711 548.388855 849.329102 1 548.388855 849.329102 1 546.486206 848.187195 1 546.486206 848.187195 1
1450.47571 1191.3136 1451.84277 1194.60852 1 1451.84277 1194.60852 1 1450.47217 1191.31616 1 1450.47217 1191.31616 1
601.574524 852.221252 603.403992 853.409119 1 603.403992 853.409119 1 601.574951 852.220947 1 601.574951 852.220947 1
407.205231 1282.53699 407.831726 1282.90173 1 407.831726 1282.90173 1 407.20578 1282.53711 1 407.20578 1282.53711 1
1628.78442 1265.63562 1629.98132 1269.44592 1 1629.98132 1269.44592 1 1628.77869 1265.63464 1 1628.77869 1265.63464 1
517.916382 857.026184 519.842163 858.231262 1 519.842163 858.231262 1 517.924744 857.025085 1 517.924744 857.025085 1
954.943848 360.839386 957.166016 362.81424 1 957.166016 362.814209 1 954.947327 360.841003 1 954.947266 360.840881 1
912.187988 1242.8938 913.264832 1244.52075 1 913.264832 1244.52075 1 912.188721 1242.8949 1 912.188721 1242.8949 1
811.025391 581.793823 812.669617 583.14563 1 812.669617 583.14563 1 811.029053 581.794861 1 811.029053 581.794861 1
1340.50903 1265.71619 1342.0354 1268.85767 1 1342.0354 1268.85767 1 1340.50781 1265.71594 1 1340.50781 1265.71594 1
686.095398 817.743164 687.781677 819.021729 1 687.781616 819.021729 1 686.09613 817.742615 1 686.09613 817.742615 1
453.596497 1292.78003 453.914001 1293.19739 1 453.914032 1293.19739 1 453.593628 1292.78418 1 453.593628 1292.78418 1
562.599365 1274.80945 563.186584 1275.31848 1 563.186523 1275.31836 1 562.606995 1274.81055 1 562.606934 1274.81042 1
985.191406 465.787567 987.285645 468.015442 1 987.285645 468.015411 1 985.188965 465.785767 1 985.188904 465.785645 1
1447.05615 1110.91443 1448.46997 1114.17114 1 1448.46997 1114.17114 1 1447.05676 1110.91394 1 1447.05676 1110.91394 1
969.05603 928.472229 970.910828 930.699341 1 970.910828 930.699341 1 969.056519 928.470276 1 969.056519 928.470276 1
822.665955 823.888672 824.294495 825.380127 1 824.294495 825.380127 1 822.665894 823.888306 1 822.665894 823.888306 1
768.984436 546.262756 770.447571 547.41925 1 770.447571 547.41925 1 768.99054 546.266418 1 768.99054 546.266418 1
878.615234 364.709473 880.842468 366.637848 1 880.842468 366.637848 1 878.610474 364.707489 1 878.610474 364.707489 1
699.04071 634.399719 700.655823 635.493896 1 700.655823 635.493896 1 699.051514 634.402649 1 699.051514 634.402649 1
942.327942 862.16095 944.220398 864.302063 1 944.220398 864.302063 1 942.328186 862.158325 1 942.328186 862.158325 1
535.097046 1278.8075 535.677673 1279.32202 1 535.677612 1279.32202 1 535.096436 1278.80774 1 535.096375 1278.80774 1
649.017212 815.445923 650.709412 816.624634 1 650.709473 816.624573 1 649.017212 815.4422 1 649.017273 815.442139 1
847.462402 838.044678 848.987366 839.510925 1 848.987427 839.510925 1 847.462463 838.048035 1 847.462463 838.048035 1
1117.9093 538.559326 1119.89722 540.778442 1 1119.89722 540.778442 1 1117.90698 538.558533 1 1117.90698 538.558533 1
830.324951 496.437042 832.469238 498.273254 1 832.469238 498.273254 1 830.324524 496.438934 1 830.324524 496.438934 1
819.871826 608.044739 821.581909 609.436584 1 821.581909 609.436584 1 819.882019 608.049927 1 819.882019 608.049927 1
1376.35632 1313.30103 1377.78308 1316.56152 1 1377.78308 1316.56152 1 1376.35583 1313.30298 1 1376.35583 1313.30298 1
730.364563 716.215942 731.971924 717.368958 1 731.971924 717.368958 1 730.367615 716.215942 1 730.367615 716.215942 1
713.714661 684.110168 715.317261 685.230103 1 715.317383 685.230103 1 713.716919 684.112244 1 713.716797 684.112183 1
988.706177 972.450806 990.586609 974.73114 1 990.586731 974.73114 1 988.700806 972.445435 1 988.700928 972.445312 1
1410.62854 250.95874 1412.88281 254.850784 1 1412.88281 254.850845 1 1410.52344 250.922501 1 1410.52319 250.922562 1
932.343201 832.054749 934.201233 834.085449 1 934.201233 834.085449 1 932.342957 832.055176 1 932.342957 832.055176 1
649.477417 863.8078 651.233765 865.124084 1 651.233765 865.124084 1 649.477478 863.810425 1 649.477478 863.810425 1
630.221558 406.479156 632.556641 407.993683 1 632.556641 407.993652 1 630.220276 406.476562 1 630.220276 406.476593 1
