mesher exited
13:50:42 rss_kb=3043984
13:50:48 rss_kb=3368144
13:50:54 rss_kb=3367168
13:51:00 rss_kb=3386304
13:51:06 rss_kb=3343696
13:51:13 rss_kb=3792224
13:51:19 rss_kb=3499808
13:51:25 rss_kb=3474272
13:51:31 rss_kb=3448864
13:51:37 rss_kb=3368400
13:51:43 rss_kb=3446336
13:51:49 rss_kb=3457872
13:51:55 rss_kb=3256512
13:52:01 rss_kb=3248208
13:52:07 rss_kb=3463472
13:52:13 rss_kb=3540656
13:52:19 rss_kb=3490880
13:52:25 rss_kb=3487376
13:52:31 rss_kb=3730288
13:52:37 rss_kb=3381824
13:52:43 rss_kb=2479088
13:52:49 rss_kb=3897152
13:52:55 rss_kb=3463904
13:53:01 rss_kb=3241968
13:53:07 rss_kb=3339184
13:53:14 rss_kb=3331296
13:53:20 rss_kb=3262128
13:53:26 rss_kb=3240480
13:53:32 rss_kb=3452416
13:53:38 rss_kb=3426288
13:53:44 rss_kb=3285136
13:53:50 rss_kb=3261072
13:53:56 rss_kb=2983968
13:54:02 rss_kb=2968064
13:54:08 rss_kb=2831168
13:54:14 rss_kb=3273984
13:54:20 rss_kb=3201680
13:54:26 rss_kb=3207984
13:54:32 rss_kb=3259376
13:54:38 rss_kb=3220352
13:54:44 rss_kb=3143824
13:54:50 rss_kb=3609568
13:54:56 rss_kb=3319952
13:55:02 rss_kb=3544976
13:55:08 rss_kb=3676848
13:55:14 rss_kb=3430016
13:55:20 rss_kb=3333776
13:55:26 rss_kb=3553600
13:55:32 rss_kb=3435648
13:55:38 rss_kb=3152448
13:55:45 rss_kb=3288080
13:55:51 rss_kb=3351504
13:55:57 rss_kb=3664832
13:56:03 rss_kb=3464480
13:56:09 rss_kb=3415696
13:56:15 rss_kb=3780752
13:56:21 rss_kb=3864784
13:56:27 rss_kb=3564048
13:56:33 rss_kb=3316544
13:56:39 rss_kb=3321760
13:56:45 rss_kb=3385328
13:56:51 rss_kb=3427408
13:56:57 rss_kb=3425856
13:57:03 rss_kb=3165424
13:57:09 rss_kb=3655552
13:57:15 rss_kb=3507680
13:57:21 rss_kb=3311840
13:57:27 rss_kb=3593088
13:57:33 rss_kb=3018704
13:57:39 rss_kb=2680288
13:57:45 rss_kb=3533136
13:57:51 rss_kb=1996000
13:57:57 rss_kb=1709760
13:58:03 rss_kb=2976496
13:58:09 rss_kb=2999520
13:58:16 rss_kb=3345872
13:58:22 rss_kb=3583456
13:58:28 rss_kb=3125520
13:58:34 rss_kb=3713408
13:58:40 rss_kb=3295936
13:58:46 rss_kb=3706720
13:58:52 rss_kb=3250880
13:58:58 rss_kb=2927712
13:59:04 rss_kb=3225392
13:59:10 rss_kb=2766608
13:59:16 rss_kb=2995520
13:59:22 rss_kb=3425024
13:59:28 rss_kb=3246256
13:59:34 rss_kb=3165488
13:59:40 rss_kb=3199536
13:59:46 rss_kb=3403216
13:59:52 rss_kb=3206784
13:59:58 rss_kb=2898848
14:00:04 rss_kb=3533216
14:00:10 rss_kb=2956752
14:00:16 rss_kb=3171648
14:00:22 rss_kb=3373376
14:00:29 rss_kb=3151776
14:00:35 rss_kb=4513680
14:00:41 rss_kb=4090672
14:00:47 rss_kb=4042768
14:00:53 rss_kb=4381504
14:00:59 rss_kb=3838128
14:01:05 rss_kb=3726416
14:01:11 rss_kb=3798640
14:01:17 rss_kb=3815008
14:01:23 rss_kb=3733696
14:01:29 rss_kb=3538400
14:01:35 rss_kb=3613488
14:01:41 rss_kb=3706288
14:01:47 rss_kb=4132192
14:01:53 rss_kb=3564000
14:01:59 rss_kb=3533488
14:02:05 rss_kb=3918096
14:02:11 rss_kb=3675424
14:02:17 rss_kb=3571584
14:02:23 rss_kb=3710768
14:02:29 rss_kb=3756800
14:02:35 rss_kb=3629168
14:02:41 rss_kb=3705216
14:02:48 rss_kb=3686704
14:02:54 rss_kb=4230848
14:03:00 rss_kb=3744272
14:03:06 rss_kb=3715696
14:03:12 rss_kb=4282144
14:03:18 rss_kb=3741936
14:03:24 rss_kb=3746336
14:03:30 rss_kb=3401152
14:03:36 rss_kb=3602688
14:03:42 rss_kb=4167584
14:03:48 rss_kb=3611648
14:03:54 rss_kb=3447232
14:04:00 rss_kb=3472784
14:04:06 rss_kb=3527712
14:04:12 rss_kb=3945776
14:04:18 rss_kb=4093904
14:04:24 rss_kb=4312000
14:04:30 rss_kb=3570672
14:04:36 rss_kb=3519056
14:04:42 rss_kb=3819248
14:04:48 rss_kb=3743936
14:04:54 rss_kb=3565904
14:05:00 rss_kb=3561024
14:05:06 rss_kb=3650112
14:05:12 rss_kb=4309120
