point_index,track_length,stored_reprojection_error_px,mean_reprojection_error_px,max_reprojection_error_px,max_triangulation_angle_deg,frame_span
6121,3,1.9058,1.9058,3.60495,13.1267,15
6122,4,1.08801,1.08801,1.78557,17.7778,19
6123,3,0.736829,0.736829,1.74299,12.355,2
6124,4,1.40512,1.40512,2.18189,18.8113,18
6125,4,1.32216,1.32216,2.44227,14.5957,3
6126,2,0.750729,0.750729,1.02778,4.48053,1
6127,4,1.59491,1.59491,3.11094,16.6006,4
6128,3,0.996003,0.996003,2.42143,8.94604,3
6129,2,0.0751083,0.0751083,0.0751847,3.69898,1
6130,2,1.88489,1.88489,3.48754,5.1844,1
6131,3,2.06289,2.06289,3.66833,10.2683,2
6132,6,2.23998,2.23998,3.71541,21.1377,11
6133,4,1.50121,1.50121,3.40267,32.9468,7
6134,4,1.12102,1.12102,1.56834,12.8369,9
6135,2,0.972598,0.972598,1.30945,3.82243,1
6136,2,1.54464,1.54464,2.73476,5.70709,1
6137,2,0.564025,0.564025,0.603016,11.2665,2
6138,2,0.614694,0.614694,0.628472,7.47941,1
6139,3,0.880516,0.880516,1.71605,17.0428,8
6140,3,1.36932,1.36932,2.86823,8.52779,11
6141,2,0.321729,0.321729,0.32703,5.82032,1
6142,5,1.0704,1.0704,2.66226,16.5055,16
6143,4,1.48674,1.48674,2.67282,26.5273,6
6144,3,1.90553,1.90553,2.90012,7.79769,10
6145,2,0.830543,0.830543,0.886603,6.94483,2
6146,5,0.973628,0.973628,2.48908,27.8798,15
6147,3,0.687247,0.687247,1.41823,29.4806,9
6148,4,1.54076,1.54076,3.34688,23.705,10
6149,5,1.71173,1.71173,3.28522,12.2401,12
6150,2,0.679579,0.679579,0.754981,14.6788,1
6151,2,1.8719,1.8719,3.48175,14.0357,1
6152,2,0.719785,0.719785,0.80564,5.65305,1
6153,7,1.52875,1.52875,3.51561,26.9885,15
6154,7,1.76477,1.76477,3.27945,23.8493,7
6155,4,1.62466,1.62466,3.97419,8.61509,4
6156,2,1.14091,1.14091,1.84758,22.6977,3
6157,3,0.370529,0.370529,0.61038,11.8359,2
6158,8,1.71625,1.71625,3.1747,17.3016,13
6159,5,1.40278,1.40278,3.42399,16.4895,5
6160,3,1.27247,1.27247,2.92343,10.9689,2
6161,16,1.76125,1.76125,3.74562,33.7494,16
6162,3,1.25251,1.25251,2.00496,18.0381,3
6163,3,1.27247,1.27247,2.92343,10.9689,2
6164,6,1.83266,1.83266,3.23049,16.4339,10
6165,3,0.811605,0.811605,1.24445,10.0689,2
6166,5,1.25968,1.25968,2.8983,10.0258,13
6167,4,0.591486,0.591486,0.888655,14.8897,8
