run,edge,nn_p50,nn_p90,nn_mean,count_a,count_b
K50,36,0.005769479911418364,0.015665871511005083,0.00944009534132988,2500,2500
K50,37,0.012612549895103183,0.025354510843037595,0.014219896100018616,2500,2500
K50,38,0.015816385583961354,0.02793918825638092,0.016775394558113645,2500,2500
K50,39,0.01601920293620146,0.029050562801152063,0.017985377517549708,2500,2500
K50,40,0.13511820046408954,0.2761657338451853,0.15236443061513946,2500,2500
K50,41,0.14675700365209943,0.24406245263935958,0.14451823601249603,2500,2500
K50,42,0.014185351962441712,0.03304124013564029,0.017189331097988206,2500,2500
K50,43,0.026120429306626017,0.04199243139114496,0.0272652437662985,2500,2500
K50,44,0.020360789398024076,0.06613928367373643,0.028276215585800128,2500,2500
K50,45,0.017352977245165643,0.03865746003782183,0.020598410936578274,2500,2500
K50,46,0.012711798906994106,0.025342866891778646,0.014498284081791851,2500,2500
K50,47,0.008541944331716317,0.020637084937959224,0.010778752242317868,2500,2500
K50,48,0.032821473522142444,0.07067640135995125,0.037544781565656396,2500,2500
