nohup: setsid: No such file or directory
19:20:14 续传,已有 4686/4687 MB
19:20:19 续传,已有 4686/4687 MB
19:20:23 续传,已有 4686/4687 MB
19:20:28 续传,已有 4686/4687 MB
19:20:33 续传,已有 4686/4687 MB
19:20:37 续传,已有 4686/4687 MB
19:20:42 续传,已有 4686/4687 MB
19:20:47 续传,已有 4686/4687 MB
19:20:52 续传,已有 4686/4687 MB
19:20:56 续传,已有 4686/4687 MB
19:21:01 续传,已有 4686/4687 MB
19:21:05 续传,已有 4686/4687 MB
19:21:10 续传,已有 4686/4687 MB
19:21:16 续传,已有 4686/4687 MB
19:21:21 续传,已有 4686/4687 MB
19:21:26 续传,已有 4686/4687 MB
19:21:30 续传,已有 4686/4687 MB
19:21:36 续传,已有 4686/4687 MB
19:21:40 续传,已有 4686/4687 MB
19:21:45 续传,已有 4686/4687 MB
19:21:50 续传,已有 4686/4687 MB
19:21:54 续传,已有 4686/4687 MB
19:21:59 续传,已有 4686/4687 MB
19:22:04 续传,已有 4686/4687 MB
19:22:08 续传,已有 4686/4687 MB
19:22:13 续传,已有 4686/4687 MB
19:22:18 续传,已有 4686/4687 MB
19:22:22 续传,已有 4686/4687 MB
19:22:27 续传,已有 4686/4687 MB
19:22:32 续传,已有 4686/4687 MB
19:22:36 续传,已有 4686/4687 MB
19:22:41 续传,已有 4686/4687 MB
19:22:45 续传,已有 4686/4687 MB
19:22:50 续传,已有 4686/4687 MB
19:22:55 续传,已有 4686/4687 MB
19:23:00 续传,已有 4686/4687 MB
19:23:04 续传,已有 4686/4687 MB
19:23:09 续传,已有 4686/4687 MB
19:23:14 续传,已有 4686/4687 MB
19:23:19 续传,已有 4686/4687 MB
19:23:23 续传,已有 4686/4687 MB
19:23:28 续传,已有 4686/4687 MB
19:23:33 续传,已有 4686/4687 MB
19:23:38 续传,已有 4686/4687 MB
19:23:42 续传,已有 4686/4687 MB
19:23:47 续传,已有 4686/4687 MB
19:23:51 续传,已有 4686/4687 MB
19:23:56 续传,已有 4686/4687 MB
19:24:01 续传,已有 4686/4687 MB
19:24:05 续传,已有 4686/4687 MB
19:24:10 续传,已有 4686/4687 MB
19:24:15 续传,已有 4686/4687 MB
19:24:20 续传,已有 4686/4687 MB
19:24:24 续传,已有 4686/4687 MB
19:24:29 续传,已有 4686/4687 MB
19:24:34 续传,已有 4686/4687 MB
19:24:38 续传,已有 4686/4687 MB
19:24:43 续传,已有 4686/4687 MB
19:24:48 续传,已有 4686/4687 MB
19:24:52 续传,已有 4686/4687 MB
19:24:57 续传,已有 4686/4687 MB
19:25:01 续传,已有 4686/4687 MB
19:25:06 续传,已有 4686/4687 MB
19:25:11 续传,已有 4686/4687 MB
19:25:15 续传,已有 4686/4687 MB
19:25:20 续传,已有 4686/4687 MB
19:25:25 续传,已有 4686/4687 MB
19:25:30 续传,已有 4686/4687 MB
19:25:34 续传,已有 4686/4687 MB
19:25:39 续传,已有 4686/4687 MB
19:25:44 续传,已有 4686/4687 MB
19:25:48 续传,已有 4686/4687 MB
19:25:53 续传,已有 4686/4687 MB
19:25:57 续传,已有 4686/4687 MB
19:26:02 续传,已有 4686/4687 MB
19:26:06 续传,已有 4686/4687 MB
19:26:11 续传,已有 4686/4687 MB
19:26:16 续传,已有 4686/4687 MB
19:26:20 续传,已有 4686/4687 MB
19:26:25 续传,已有 4686/4687 MB
19:26:30 续传,已有 4686/4687 MB
19:26:34 续传,已有 4686/4687 MB
19:26:39 续传,已有 4686/4687 MB
19:26:43 续传,已有 4686/4687 MB
19:26:48 续传,已有 4686/4687 MB
19:26:53 续传,已有 4686/4687 MB
19:26:58 续传,已有 4686/4687 MB
19:27:02 续传,已有 4686/4687 MB
19:27:07 续传,已有 4686/4687 MB
19:27:12 续传,已有 4686/4687 MB
19:27:16 续传,已有 4686/4687 MB
19:27:21 续传,已有 4686/4687 MB
19:27:26 续传,已有 4686/4687 MB
19:27:30 续传,已有 4686/4687 MB
19:27:35 续传,已有 4686/4687 MB
19:27:40 续传,已有 4686/4687 MB
19:27:44 续传,已有 4686/4687 MB
19:27:49 续传,已有 4686/4687 MB
19:27:54 续传,已有 4686/4687 MB
19:27:59 续传,已有 4686/4687 MB
19:28:03 续传,已有 4686/4687 MB
19:28:08 续传,已有 4686/4687 MB
19:28:12 续传,已有 4686/4687 MB
19:28:17 续传,已有 4686/4687 MB
19:28:22 续传,已有 4686/4687 MB
19:28:26 续传,已有 4686/4687 MB
19:28:31 续传,已有 4686/4687 MB
19:28:36 续传,已有 4686/4687 MB
19:28:41 续传,已有 4686/4687 MB
19:28:45 续传,已有 4686/4687 MB
19:28:50 续传,已有 4686/4687 MB
19:28:54 续传,已有 4686/4687 MB
19:28:59 续传,已有 4686/4687 MB
19:29:04 续传,已有 4686/4687 MB
